file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,input,-46.57867443698143,-47.23519343421573,5.193438425407376,8.074596967488477
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,input,-43.80383246527778,-53.2154781634991,3.88806393549847,11.443148868500742
F2BJRLP3,0.0,30.7068125,input,-46.329778573754474,-47.42224386374584,3.5991607710104656,10.342717626259795
F2BJRLP2,0.0,28.6474375,input,-45.262990837696336,-46.01759607651655,3.309534540264094,7.970306286230464
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,input,-43.26187953995157,-53.13012422834124,2.7222078288787914,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,input,-44.5762222132732,-49.90399932861328,2.582073134846608,12.358243745435463
